Time [ms],Voltage [V], Current [mA]
242,0.01,134.00
1313,0.01,133.56
2384,0.01,133.92
3456,0.01,133.84
4527,0.01,133.76
5598,0.01,133.72
6669,0.01,133.64
7740,0.01,133.92
8811,0.01,134.36
9882,0.01,134.24
10953,0.01,133.88
12024,0.01,134.12
13095,0.01,133.80
14166,0.01,134.04
15237,0.01,133.84
16308,0.02,133.44
17379,0.01,133.56
18450,0.02,133.52
19521,0.01,133.52
20592,0.01,133.40
21663,0.02,133.32
22734,0.01,133.56
23804,0.01,133.40
24876,0.01,133.40
25947,0.02,133.80
27018,0.01,133.64
28092,0.01,133.60
29163,0.01,133.84
30234,0.01,133.72
31305,0.01,133.76
32376,0.01,133.56
33447,0.02,133.64
34519,0.02,133.72
35590,0.02,133.88
36661,0.02,133.88
37732,0.02,133.68
38803,0.02,133.68
39874,0.01,133.56
40946,0.05,133.80
42017,0.05,133.72
43088,0.05,133.80
44160,0.05,133.52
45231,0.06,133.56
46302,0.06,133.68
47373,0.06,133.48
48444,0.05,133.56
49515,0.05,133.76
50586,0.05,133.96
51657,0.08,133.52
52728,0.10,133.64
53799,0.09,133.52
54871,0.12,133.40
55942,0.12,134.20
57016,0.13,133.44
58087,0.12,133.92
59158,0.13,133.84
60229,0.12,133.72
61300,0.10,133.72
62371,0.10,133.64
63442,0.09,133.56
64514,0.10,133.36
65585,0.13,133.72
66656,0.15,133.76
67727,0.15,133.68
68798,0.21,133.56
69869,0.26,133.76
70940,0.27,133.84
72011,0.27,133.76
73083,0.30,134.00
74155,0.31,133.92
75226,0.37,133.92
76297,0.41,133.80
77368,0.44,133.92
78439,0.46,133.52
79510,0.61,133.84
80581,0.62,133.64
81652,0.88,133.48
82723,1.01,132.72
83794,1.13,132.40
84866,1.13,132.44
85940,1.13,132.56
87011,1.17,132.04
88082,1.19,132.04
89153,1.27,131.72
90224,1.28,131.72
91295,1.29,131.64
92366,1.27,131.76
93437,1.30,131.16
94509,1.40,130.12
95580,1.42,129.76
96651,1.47,128.56
97722,1.53,126.16
98793,1.59,123.84
99864,1.60,123.32
100935,1.59,123.76
102006,1.60,123.96
103077,1.62,123.04
104148,1.64,121.08
105220,1.69,117.24
106292,1.73,113.64
107363,1.73,113.40
108434,1.74,111.40
109505,1.76,109.68
110575,1.77,108.12
111646,1.79,104.56
112717,1.80,103.72
113792,1.80,103.76
114863,1.82,98.96
115934,1.87,90.72
117004,1.87,90.40
118075,1.87,88.76
119146,1.88,87.88
120217,1.88,87.32
121288,1.90,82.24
122359,1.92,76.60
123430,1.92,76.52
124500,1.92,76.16
125572,1.93,75.36
126643,1.93,74.96
127714,1.94,71.52
128785,1.95,69.48
129856,1.95,69.00
130927,1.96,64.16
131997,1.97,61.96
133068,1.97,61.64
134139,1.97,61.88
135211,1.97,61.64
136282,1.97,60.80
137353,1.97,59.56
138424,1.98,57.12
139495,1.99,54.16
140566,1.99,53.44
141637,1.99,52.08
142710,2.00,51.64
143781,2.00,51.36
144852,2.00,50.76
145924,2.00,50.64
146995,2.00,50.40
148066,2.00,50.52
149137,2.00,50.12
150208,2.01,50.00
151278,2.01,48.60
152349,2.01,46.52
153420,2.02,45.92
154491,2.02,44.32
155563,2.02,43.68
156634,2.03,41.44
157705,2.04,39.12
158776,2.04,38.44
159847,2.04,37.56
160918,2.04,37.24
161989,2.04,36.84
163060,2.04,36.60
164131,2.04,36.20
165202,2.04,36.04
166273,2.05,35.16
167344,2.04,35.32
168415,2.05,35.40
169486,2.04,35.12
170557,2.05,33.96
171631,2.05,33.24
172702,2.05,32.32
173773,2.05,31.60
174844,2.05,31.24
175916,2.06,31.16
176987,2.06,29.84
178058,2.06,29.16
179129,2.06,28.84
180200,2.06,27.60
181271,2.07,26.16
182342,2.07,25.36
183413,2.07,24.44
184484,2.07,24.16
185555,2.07,23.52
186627,2.08,23.04
187698,2.08,22.80
188769,2.08,22.32
189840,2.08,21.44
190911,2.08,20.64
191982,2.08,20.72
193053,2.08,20.16
194124,2.09,19.68
195195,2.09,19.12
196267,2.09,19.24
197338,2.09,18.68
198409,2.09,18.04
199480,2.10,17.76
200553,2.10,17.16
201624,2.10,16.64
202695,2.10,16.16
203766,2.10,15.96
204837,2.10,15.44
205908,2.10,14.96
206980,2.11,14.32
208051,2.11,13.56
209122,2.11,13.52
210193,2.11,12.92
211264,2.11,12.44
212334,2.11,12.08
213405,2.11,11.72
214476,2.11,11.64
215547,2.11,11.32
216619,2.12,10.92
217690,2.12,10.44
218761,2.12,10.04
219831,2.12,9.72
220902,2.12,9.24
221973,2.12,8.96
223044,2.12,8.56
224115,2.12,8.28
225186,2.12,7.96
226256,2.12,7.84
227328,2.12,7.52
228399,2.13,7.28
229470,2.13,7.24
230538,2.13,6.92
231609,2.13,6.80
232680,2.13,6.48
233751,2.13,6.36
234821,2.13,6.20
235892,2.13,6.08
236963,2.13,5.84
238034,2.13,5.60
239106,2.14,5.44
240177,2.14,5.36
241247,2.14,5.12
242318,2.14,5.00
243389,2.14,4.92
244459,2.14,4.84
245530,2.14,4.76
246600,2.14,4.60
247671,2.14,4.52
248742,2.14,4.40
249812,2.14,4.28
250884,2.14,4.16
251955,2.14,4.08
253025,2.14,3.92
254096,2.14,3.96
255167,2.14,3.92
256237,2.14,3.92
257308,2.14,3.96
258378,2.14,4.08
259449,2.14,4.12
260524,2.14,4.12
261595,2.14,4.24
262666,2.14,4.32
263736,2.14,4.44
264807,2.14,4.52
265878,2.14,4.64
266949,2.14,4.84
268020,2.14,5.04
269091,2.14,5.24
270162,2.14,5.36
271234,2.14,5.56
272304,2.14,5.76
273375,2.14,5.96
274446,2.14,6.04
275517,2.14,6.04
276588,2.14,6.12
277658,2.13,6.32
278729,2.13,6.44
279800,2.13,6.68
280871,2.13,6.84
281943,2.13,7.36
283014,2.13,7.88
284085,2.13,8.44
285155,2.13,9.32
286226,2.13,9.80
287297,2.12,10.52
288368,2.12,11.28
289439,2.12,12.20
290513,2.12,13.32
291585,2.12,13.64
292656,2.12,13.68
293727,2.12,13.72
294798,2.12,13.72
295869,2.12,13.72
296940,2.12,13.72
298010,2.12,13.68
299081,2.12,13.72
300152,2.12,14.00
301223,2.11,15.92
302296,2.11,18.00
303367,2.10,19.44
304438,2.09,22.64
305509,2.09,26.48
306580,2.06,36.44
307651,2.02,50.36
308722,2.02,51.76
309793,2.02,51.72
310864,2.01,55.52
311936,1.99,61.12
313007,1.98,65.16
314078,1.98,65.40
315149,1.97,66.44
316220,1.97,66.64
317291,1.97,66.96
318362,1.96,71.16
319436,1.93,77.36
320507,1.92,79.92
321579,1.91,83.68
322649,1.90,84.76
323720,1.87,91.96
324791,1.87,92.96
325862,1.83,98.64
326933,1.78,107.88
328005,1.75,111.44
329076,1.73,114.00
330147,1.72,114.76
331218,1.42,127.96
332290,0.73,131.56
333361,0.34,131.76
334432,0.23,131.76
335503,0.20,131.92
336575,0.10,131.92
337646,0.10,131.64
338717,0.08,132.12
339788,0.07,131.88
340859,0.09,131.64
341931,0.08,131.68
343002,0.03,131.80
344073,0.05,131.64
345144,0.01,132.04
346215,0.01,131.84
347288,0.01,131.96
348359,0.02,131.64
349430,0.01,131.52
350501,0.01,131.92
351572,0.01,130.24
352644,0.01,130.76
